ID,level,input_noise,N_fixations,N_distant_fixations,trial,time_played,N_attempt,done,SoC,level_difficulty,crashed,N_prior_crashs,trials_since_last_crash,crashed_in_last_trial,consecutive_crash_success,N_consecutive_crash_success
TM15AA,3,1.0,145.0,55.0,19,43.64445972442627,1,True,7,medium,0,4,10,0,0,4
TM15AA,2,0.5,137.0,84.0,20,43.59932613372803,1,True,7,medium,0,4,11,0,0,4
TM15AA,3,0.5,87.0,87.0,21,43.163302183151245,1,True,7,medium,0,4,12,0,0,4
TM15AA,6,2.0,78.0,59.0,22,42.4354407787323,2,True,7,hard,0,4,13,0,0,4
TM15AA,6,1.0,91.0,91.0,23,44.15082287788391,1,True,7,hard,0,4,14,0,0,4
TM15AA,6,1.5,253.0,101.0,24,43.86320877075195,1,True,7,hard,0,4,15,0,0,4
TM15AA,4,1.5,2.0,2.0,25,8.29330825805664,2,False,6,hard,1,4,0,0,0,4
TM15AA,5,2.0,75.0,11.0,26,22.60101294517517,1,False,5,hard,1,5,1,1,0,4
TM15AA,4,2.0,81.0,21.0,27,35.81996297836304,2,False,5,hard,1,6,2,1,0,4
TM15AA,2,2.0,101.0,53.0,28,44.24354386329651,1,True,7,medium,0,7,1,1,1,5
TM15AA,4,2.0,83.0,64.0,29,21.884165287017822,3,False,5,hard,1,7,0,0,0,5
TM15AA,4,0.5,523.0,445.0,30,44.46886777877808,1,True,7,hard,0,8,1,1,1,6
TM15AA,2,1.0,340.0,203.0,31,44.255486726760864,1,True,7,medium,0,8,2,0,0,6
TM15AA,5,1.5,68.0,57.0,32,43.16965985298157,1,True,7,hard,0,8,3,0,0,6
TM15AA,4,0.0,211.0,138.0,33,43.29840064048767,1,True,7,hard,0,8,4,0,0,6
TM15AA,4,1.5,141.0,110.0,34,43.65827393531799,3,True,7,hard,0,8,5,0,0,6
TM15AA,5,2.0,6.0,6.0,35,21.176711797714237,2,False,5,hard,1,8,0,0,0,6
TM15AA,5,1.0,228.0,27.0,36,44.43136548995972,1,True,7,hard,0,9,1,1,1,7
TM15AA,5,2.0,45.0,33.0,37,34.58251094818115,3,False,6,hard,1,9,0,0,0,7
TE03NT,4,2.0,98.0,75.0,00,46.71196460723877,1,True,5,hard,0,0,1,1,1,1
TE03NT,3,1.0,26.0,16.0,01,17.090787887573242,1,False,2,medium,1,0,0,0,0,1
TE03NT,6,0.0,60.0,58.0,02,44.001155376434326,1,True,7,hard,0,1,1,1,1,2
TE03NT,5,0.5,65.0,62.0,03,44.03139686584473,1,True,7,hard,0,1,2,0,0,2
TE03NT,3,0.5,57.0,50.0,04,44.42390894889832,1,True,7,medium,0,1,3,0,0,2
TE03NT,6,1.0,49.0,38.0,05,30.80099511146545,1,False,4,hard,1,1,0,0,0,2
TE03NT,5,2.0,11.0,10.0,06,13.923832416534424,1,False,3,hard,1,2,1,1,0,2
TE03NT,3,1.0,57.0,45.0,07,44.424681663513184,2,True,5,medium,0,3,1,1,1,3
TE03NT,6,0.5,57.0,50.0,08,43.62791848182678,1,True,6,hard,0,3,2,0,0,3
TE03NT,5,1.5,61.0,56.0,09,43.336366176605225,1,True,6,hard,0,3,3,0,0,3
TE03NT,1,0.5,47.0,41.0,10,43.50497245788574,1,True,7,medium,0,3,4,0,0,3
TE03NT,4,1.0,45.0,42.0,11,41.752994775772095,1,True,6,hard,0,3,5,0,0,3
TE03NT,2,2.0,52.0,45.0,12,44.618242263793945,1,True,4,medium,0,3,6,0,0,3
TE03NT,2,0.5,55.0,47.0,13,43.95532178878784,1,True,6,medium,0,3,7,0,0,3
TE03NT,1,2.0,8.0,0.0,14,32.195642948150635,1,False,3,medium,1,3,0,0,0,3
TE03NT,6,1.0,50.0,44.0,15,40.102728843688965,2,True,7,hard,0,4,1,1,1,4
TE03NT,1,1.0,48.0,46.0,16,39.632060289382935,1,True,6,medium,0,4,2,0,0,4
TE03NT,6,1.5,55.0,50.0,17,40.78490233421326,1,True,4,hard,0,4,3,0,0,4
TE03NT,3,0.0,57.0,53.0,18,39.78503370285034,1,True,7,medium,0,4,4,0,0,4
TE03NT,1,2.0,50.0,45.0,19,40.60155367851257,2,True,4,medium,0,4,5,0,0,4
TE03NT,2,0.0,43.0,41.0,20,40.48578190803528,1,True,7,medium,0,4,6,0,0,4
TE03NT,4,1.5,44.0,40.0,21,30.766247749328613,1,False,3,hard,1,4,0,0,0,4
TE03NT,3,2.0,51.0,44.0,22,41.83782625198364,1,True,4,medium,0,5,1,1,1,5
TE03NT,5,0.0,48.0,46.0,23,41.39533042907715,1,True,7,hard,0,5,2,0,0,5
TE03NT,3,1.5,47.0,45.0,24,45.47615885734558,1,True,5,medium,0,5,3,0,0,5
TE03NT,4,0.5,53.0,47.0,25,42.50048851966858,1,True,7,hard,0,5,4,0,0,5
TE03NT,2,1.0,53.0,47.0,26,43.029592514038086,1,True,5,medium,0,5,5,0,0,5
TE03NT,1,0.0,56.0,50.0,27,42.86344695091248,1,True,7,medium,0,5,6,0,0,5
TE03NT,4,1.5,38.0,33.0,28,30.746511697769165,2,False,2,hard,1,5,0,0,0,5
TE03NT,6,2.0,45.0,36.0,29,42.675915479660034,1,True,3,hard,0,6,1,1,1,6
TE03NT,1,1.5,47.0,41.0,30,45.07508563995361,1,True,3,medium,0,6,2,0,0,6
TE03NT,5,2.0,60.0,52.0,31,42.86287474632263,2,True,2,hard,0,6,3,0,0,6
TE03NT,5,1.0,60.0,55.0,32,44.25947546958923,1,True,5,hard,0,6,4,0,0,6
TE03NT,4,0.0,60.0,54.0,33,43.44303798675537,1,True,7,hard,0,6,5,0,0,6
TE03NT,2,1.5,61.0,57.0,34,43.85403180122376,1,True,3,medium,0,6,6,0,0,6
TE03NT,4,1.5,56.0,44.0,35,44.33861684799194,3,True,4,hard,0,6,7,0,0,6
IA19EI,6,1.0,214.0,60.0,00,45.41191649436951,1,True,6,hard,0,0,8,0,0,0
IA19EI,3,2.0,92.0,26.0,01,45.39863586425781,1,True,3,medium,0,0,9,0,0,0
IA19EI,5,2.0,60.0,26.0,02,12.163034200668337,1,False,3,hard,1,0,0,0,0,0
IA19EI,1,1.0,418.0,182.0,03,44.35722160339356,1,True,5,medium,0,1,1,1,1,1
IA19EI,2,2.0,389.0,185.0,04,45.34363341331482,1,True,6,medium,0,1,2,0,0,1
IA19EI,2,1.0,452.0,238.0,05,43.97932529449463,1,True,6,medium,0,1,3,0,0,1
IA19EI,3,1.0,528.0,293.0,06,42.54677653312683,1,True,6,medium,0,1,4,0,0,1
IA19EI,4,0.0,462.0,198.0,07,42.103468894958496,1,False,5,hard,1,1,0,0,0,1
IA19EI,4,1.0,466.0,154.0,08,43.9155662059784,1,True,6,hard,0,2,1,1,1,2
IA19EI,4,1.5,112.0,62.0,09,11.705393552780151,1,False,4,hard,1,2,0,0,0,2
IA19EI,5,1.5,497.0,248.0,10,42.86454486846924,1,True,3,hard,0,3,1,1,1,3
IA19EI,6,2.0,428.0,155.0,11,44.40861701965332,1,True,3,hard,0,3,2,0,0,3
IA19EI,3,1.5,212.0,161.0,12,27.83875250816345,1,False,3,medium,1,3,0,0,0,3
IA19EI,4,2.0,53.0,17.0,13,8.786424160003662,1,False,2,hard,1,4,1,1,0,3
IA19EI,5,1.0,412.0,193.0,14,40.19126868247986,1,True,4,hard,0,5,1,1,1,4
IA19EI,4,0.5,397.0,167.0,15,39.93915605545044,1,True,5,hard,0,5,2,0,0,4
IA19EI,1,0.5,371.0,255.0,16,40.29470801353455,1,True,6,medium,0,5,3,0,0,4
IA19EI,3,0.5,323.0,226.0,17,40.17191457748413,1,True,6,medium,0,5,4,0,0,4
IA19EI,1,1.5,345.0,240.0,18,40.98758149147034,1,True,6,medium,0,5,5,0,0,4
IA19EI,4,2.0,189.0,113.0,19,22.763718366622925,2,False,3,hard,1,5,0,0,0,4
IA19EI,3,1.5,406.0,159.0,20,40.9757661819458,2,True,5,medium,0,6,1,1,1,5
IA19EI,2,0.0,400.0,272.0,21,41.35227990150452,1,True,6,medium,0,6,2,0,0,5
IA19EI,4,0.0,389.0,219.0,22,42.76269817352295,2,True,5,hard,0,6,3,0,0,5
IA19EI,1,2.0,276.0,162.0,23,31.669578075408936,1,False,1,medium,1,6,0,0,0,5
IA19EI,5,0.5,394.0,267.0,24,43.70110726356506,1,True,5,hard,0,7,1,1,1,6
IA19EI,2,0.5,345.0,246.0,25,43.895984172821045,1,True,5,medium,0,7,2,0,0,6
IA19EI,2,1.5,461.0,350.0,26,44.82280158996582,1,True,3,medium,0,7,3,0,0,6
IA19EI,1,0.0,334.0,259.0,27,43.272090911865234,1,True,6,medium,0,7,4,0,0,6
IA19EI,1,2.0,304.0,237.0,28,44.99061846733093,2,True,3,medium,0,7,5,0,0,6
